root,translit,top_gloss,occurrences,n_ayahs,mean_pairwise,localization,hull_area,density,dist_from_global,n_clusters,spread_frac,dom_kmeans,dom_k_frac
حمد,h-m-d,praised,63,61,2.741,0.457,19.39,3.147,3.019,2,0.328,6,0.492
ذوق,dh-w-q,,63,61,5.496,0.915,50.0,1.22,1.44,4,0.459,4,0.344
تلو,t-l-w,To follow,63,61,4.814,0.802,53.67,1.137,2.35,2,0.525,4,0.459
وكل,w-k-l,Agent,70,61,3.029,0.505,21.43,2.846,2.967,3,0.443,6,0.361
موه,m-w-h,,63,60,5.003,0.833,56.32,1.065,2.713,3,0.45,4,0.55
خسر,kh-s-r,Lost,65,60,5.575,0.929,56.58,1.061,1.477,2,0.133,4,0.333
كسب,k-s-b,bad dates,67,60,4.659,0.776,60.33,0.995,2.104,3,0.45,4,0.367
غيب,gh-y-b,Absence,60,59,6.668,1.111,58.49,1.009,0.968,2,0.119,4,0.373
زيد,z-y-d,increased,61,59,4.453,0.742,53.56,1.102,2.429,3,0.525,4,0.39
قضي,q-d-a,finished,63,59,4.464,0.744,57.01,1.035,2.849,2,0.492,4,0.475
سحر,s-h-r,Suhur,63,59,4.628,0.771,54.95,1.074,0.527,3,0.254,1,0.254
فتن,f-t-n,He burned it,60,58,3.888,0.648,44.97,1.29,2.863,2,0.448,4,0.414
عود,3-w-d,'ʿĀd',63,58,5.133,0.855,71.99,0.806,1.548,4,0.448,4,0.31
ردد,r-d-d,Response,59,57,3.191,0.532,22.41,2.543,3.582,2,0.509,4,0.474
ظنن,z-n-n,thought,69,57,3.552,0.592,23.83,2.392,3.052,2,0.456,4,0.421
مسس,m-s-s,Touch,61,57,3.474,0.579,25.84,2.206,3.107,3,0.491,4,0.439
ظهر,z-h-r,appeared,59,57,4.38,0.73,61.79,0.922,3.331,2,0.421,4,0.579
ذهب,dh-h-b,Went,56,56,5.752,0.958,59.26,0.945,1.586,4,0.554,4,0.393
صوب,s-w-b,provide,77,56,2.776,0.462,18.27,3.065,4.11,2,0.411,4,0.589
زكو,z-k-w,Intelligent,59,56,3.356,0.559,19.41,2.885,3.407,3,0.482,4,0.5
ضرب,d-r-b,struck,58,54,5.218,0.869,52.54,1.028,2.815,3,0.481,4,0.519
فسق,f-s-q,Transgressor,54,54,2.975,0.496,18.1,2.983,3.969,2,0.407,4,0.574
نهي,n-h-a,destination,56,54,4.344,0.724,57.66,0.937,2.702,2,0.519,4,0.444
قري,q-r-a,Village,57,54,5.155,0.859,55.15,0.979,1.522,3,0.426,4,0.37
بيت,b-y-t,house,73,54,5.8,0.966,50.78,1.064,2.276,2,0.111,4,0.5
فري,f-r-a,Forged,60,54,3.276,0.546,43.61,1.238,2.832,2,0.37,6,0.389
نسو,n-s-w,,59,53,2.011,0.335,13.22,4.008,5.741,3,0.151,4,0.849
دور,d-w-r,to turn,55,53,3.118,0.519,18.6,2.85,3.295,2,0.453,4,0.453
روح,r-w-h,Wind,57,52,4.419,0.736,55.15,0.943,2.662,2,0.538,4,0.442
خبر,kh-b-r,Expert,52,52,5.232,0.872,61.74,0.842,2.375,3,0.558,4,0.442
عدد,3-d-d,He counted,57,50,4.479,0.746,52.21,0.958,2.562,1,0.06,4,0.4
تحت,t-h-t,Under,51,50,3.174,0.529,53.14,0.941,3.539,1,0.1,4,0.64
ندو,,,53,50,8.137,1.355,52.89,0.945,1.084,4,0.68,4,0.3
حمل,h-m-l,Pregnancy,64,50,7.651,1.274,58.19,0.859,1.096,3,0.5,4,0.5
عقل,3-q-l,Rendered,49,49,4.006,0.667,58.88,0.832,2.282,2,0.388,4,0.347
نفع,n-f-3,Benefit,50,49,5.766,0.96,46.22,1.06,1.455,3,0.469,4,0.388
اجل,a-j-l,Delay,56,48,3.21,0.535,26.76,1.793,4.363,2,0.312,4,0.688
قدم,q-d-m,Foot,48,48,4.518,0.753,49.5,0.97,1.482,2,0.312,4,0.292
فسد,f-s-d,Corruption,50,47,5.951,0.991,55.16,0.852,1.773,3,0.553,4,0.404
طيب,T-y-b,Goodness,50,46,2.686,0.447,17.38,2.646,4.237,2,0.065,4,0.609
كرم,k-r-m,Generous,47,46,6.499,1.083,54.02,0.852,0.388,5,0.609,3,0.196
صرط,s-r-T,,45,45,3.34,0.556,23.13,1.945,1.961,3,0.378,6,0.311
ضعف,d-3-f,weakened,52,45,2.754,0.459,17.3,2.601,4.341,2,0.422,4,0.578
عجل,3-j-l,Hasten,47,44,7.145,1.19,53.24,0.827,0.398,3,0.477,4,0.273
دبر,d-b-r,Back,44,44,3.322,0.553,23.73,1.854,1.993,3,0.455,0,0.25
سوع,s-w-3,Hour,49,44,3.355,0.559,26.08,1.687,2.268,2,0.364,4,0.318
وذر,w-dh-r,,45,43,6.477,1.079,56.43,0.762,0.868,3,0.488,0,0.302
حشر,h-sh-r,Gathered,43,43,6.658,1.109,56.37,0.763,0.448,4,0.512,4,0.302
سرر,s-r-r,Adventive,44,43,4.303,0.717,45.84,0.938,1.74,2,0.349,4,0.279
صبح,s-b-h,dawn,45,43,6.871,1.144,58.13,0.74,0.541,5,0.605,4,0.279
حلل,h-l-l,Laxness,51,43,3.814,0.635,44.81,0.96,4.031,3,0.395,4,0.605
زين,z-y-n,Adorned,46,43,3.893,0.648,54.98,0.782,3.765,3,0.349,4,0.628
صدر,s-d-r,Returned,46,43,5.744,0.957,55.67,0.772,1.81,4,0.535,4,0.465
اثم,a-th-m,Sinned,48,42,4.824,0.804,60.88,0.69,2.529,3,0.571,4,0.429
فصل,f-s-l,Separated,43,42,6.052,1.008,59.37,0.707,1.626,4,0.524,4,0.405
حزن,h-z-n,to grieve,42,42,3.741,0.623,42.95,0.978,2.779,2,0.5,4,0.405
حفظ,h-f-z,Preservation,44,42,5.345,0.89,46.95,0.894,1.287,2,0.405,4,0.357
فوق,f-w-q,Above,43,41,5.566,0.927,59.06,0.694,2.485,3,0.439,4,0.537
طعم,T-3-m,Food,48,41,6.629,1.104,53.89,0.761,2.01,3,0.415,4,0.585
جوب,j-w-b,,43,41,4.514,0.752,53.74,0.763,1.719,2,0.366,6,0.366
