root,translit,top_gloss,occurrences,n_ayahs,loc_raw,loc_whitened,delta
كفر,k-f-r,Rose-water,525,465,0.556,0.845,0.289
وقي,w-q-a,To guard,258,237,0.599,0.89,0.292
فضل,f-d-l,excelled,104,92,0.575,0.867,0.292
ربص,r-b-s,Awaited,17,12,0.546,0.841,0.295
فري,f-r-a,Forged,60,54,0.546,0.84,0.295
هلك,h-l-k,Destruction,68,63,0.542,0.838,0.296
دور,d-w-r,to turn,55,53,0.519,0.816,0.297
سعي,s-3-a,Strived,30,28,0.624,0.922,0.299
لدن,l-d-n,Supple,18,17,0.48,0.779,0.299
مشي,m-sh-a,Strolled,23,20,0.558,0.857,0.299
ضلل,d-l-l,Delusion,191,170,0.578,0.878,0.299
ثوب,th-w-b,Scorpion,28,23,0.505,0.804,0.299
عظم,3-z-m,Great,128,127,0.741,1.043,0.302
ولي,w-l-a,Turned away,232,202,0.542,0.845,0.303
عوذ,3-w-dh,I seek refuge.,17,17,0.602,0.907,0.306
ثبت,th-b-t,Well,18,17,0.501,0.807,0.306
صوب,s-w-b,provide,77,56,0.462,0.772,0.309
شرر,sh-r-r,evil,31,30,0.644,0.954,0.31
فكر,f-k-r,thought,18,18,0.467,0.779,0.312
ثمن,th-m-n,Yearling,19,19,0.447,0.759,0.312
ضرر,d-r-r,Harm,74,70,0.487,0.8,0.313
لعن,l-3-n,Curse,41,36,0.464,0.777,0.313
كشف,k-sh-f,Disclosed,20,20,0.538,0.852,0.315
بوب,b-w-b,Door,27,24,0.548,0.864,0.316
زين,z-y-n,Adorned,46,43,0.648,0.966,0.317
تحت,t-h-t,Under,51,50,0.529,0.846,0.318
وكل,w-k-l,Agent,70,61,0.505,0.822,0.318
عصي,3-s-a,stubborn,32,32,0.686,1.004,0.319
ظلم,z-l-m,Oppressed,315,290,0.59,0.91,0.32
ذرر,dh-r-r,Progeny,38,36,0.612,0.934,0.322
رهب,r-h-b,Monasticism,12,12,0.522,0.844,0.323
صير,s-y-r,I prepared it for him,29,29,0.5,0.824,0.323
اجر,a-j-r,wage,108,99,0.379,0.703,0.324
سعر,s-3-r,Blaze,19,19,0.795,1.12,0.325
